Código,Fecha Depósito,Nombre entidad que deposita,Texto depositado,Pólizas/Cláusulas,Temas,Res. Autoriza,Res. Prohibición
CAD112050,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR AERONAVES, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112051,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR EXPLOSIÓN, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112053,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE COLAPSO DE EDIFICIO, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112054,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA DE PERDIDA DE ENTRADAS POR ARRIENDO, ADICIONAL A: POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.  PROHIBIDA SU UTILIZACIÓN CON POL 1 12 027, POR RESOLUCIÓN N°452 DE 07/11/2012.",,"- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
- Uso Conjunto Prohibido
", - ,171 del 19/06/2014
CAD112055,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR VEHICULOS MOTORIZADOS ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112056,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES A CONSECUENCIA DIRECTA DE HUELGA O DESORDEN POPULAR, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112057,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE SAQUEO Y DAÑOS MATERIALES POR SAQUEO DURANTE HUELGA O DESORDEN POPULAR ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112058,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR ROTURAS DE CAÑERIAS O POR DESBORDAMIENTO DE ESTANQUES MATRICES, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112059,09/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE DAÑOS MATERIALES CAUSADOS POR CHOQUE O COLISION CON OBJETOS FIJOS O FLOTANTES, INCLUYENDO NAVES, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL112049,07/05/2012,ACE SEGUROS S.A.,SEGURO DE RESPONSABILIDAD CIVIL PROFESIONAL PARA ARQUITECTOS E INGENIEROS,,"- MODELO PROHIBIDO
- Responsabilidad Civil
", - ,171 del 19/06/2014
POL212048,07/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"PÓLIZA  INDIVIDUAL DE DESGRAVAMEN
ASOCIADA A CREDITOS HIPOTECARIOS
",,"- Desgravamen
- Hipotecario Individual, ART. 40 DFL 251
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL112046,04/05/2012,ACE SEGUROS DE VIDA S.A,CONDICIONES GENERALES POLIZA RESPONSABILIDAD CIVIL DE DIRECTORES Y ADMINISTRADORES,,"- MODELO PROHIBIDO
- Responsabilidad Civil
", - ,171 del 19/06/2014
POL212047,04/05/2012,COMPAÑIA DE SEGUROS DE VIDA CRUZ DEL SUR S.A.,SEGURO COLECTIVO TEMPORAL DE VIDA CON AHORRO,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
CAD112045,03/05/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR RIESGO DE LA  NATURALEZA ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD212044,27/04/2012,BICE VIDA COMPAÑÍA DE SEGUROS S.A.,"CLAUSULA DE MUERTE ACCIDENTAL, ADICIONAL A: SEGURO INDIVIDUAL  TEMPORAL DE VIDA CON DEVOLUCION DE PRIMAS AL TÉRMINO DE LA COBERTURA, COD. POL 2 11 055.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL212042,24/04/2012,CHILENA CONSOLIDADA SEGUROS DE VIDA S.A.,POLIZA ONCOLOGICA,,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL312043,24/04/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"SEGURO COLECTIVO TEMPORAL DE MUERTE ACCIDENTAL CON DEVOLUCIÓN DE PRIMAS.
",,"- Accidentes Personales
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
CAD112041,23/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR SISMO,
ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, POL 1 12 040.
",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL112040,23/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"POLIZA INDIVIDUAL DE INCENDIO 
ASOCIADA A CREDITOS HIPOTECARIOS 
",,"- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD312037,18/04/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"CLAUSULA DE MUERTE ACCIDENTAL, ADICIONAL A: PÓLIZA DE REEMBOLSO DE GASTOS MEDICOS A CAUSA DE ACCIDENTE 0 ENFERMEDAD, CÓDIGO POL 3 10 094.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
CAD312038,18/04/2012,METLIFE CHILE S.A.,"CLAUSULA DE INVALIDEZ TOTAL Y PERMANENTE  DOS TERCIOS A CONSECUENCIA DE ACCIDENTE, ADICIONAL A: PÓLIZA DE REEMBOLSO DE GASTOS MEDICOS A CAUSA DE ACCIDENTE 0 ENFERMEDAD, COD. POL 3 10 094.",,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL312039,18/04/2012,SEGUROS VIDA SECURITY PREVISION S.A.,POLIZA DE ACCIDENTES PERSONALES,,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD212036,13/04/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"CLÁUSULA BENEFICIO EN CASO DE FALLECIMIENTO, ADICIONAL A: PÓLIZA DE ACCIDENTES PERSONALES, CÓDIGO POL 3 12 034.",,"- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
CAD312035,09/04/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"CLAUSULA GASTOS MÉDICOS POR ENFERMEDAD, ADICIONAL A: SEGURO DE ACCIDENTES PERSONALES, COD. POL 3 12 034.",,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL312034,05/04/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO  DE  ACCIDENTES  PERSONALES,,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112028,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR SISMO,ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CRÉDITOS HIPOTECARIOS, CODIGO POL 1 12 027. PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012. MODELO PROHIBIDO POR RESOLUCION N°324 DE 13/08/2012.
",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,324 del 13/08/2012
CAD112029,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR SALIDA DE MAR ORIGINADA POR SISMO, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CRÉDITOS HIPOTECARIOS, CODIGO POL 1 12 027; POLIZA INDIVIDUAL DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS, CODIGO POL 1 12 040.


 PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD112030,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE INCENDIO Y DAÑOS MATERIALES CAUSADOS POR RIESGO DE LA  NATURALEZA, ADICIONAL A: POLIZA COLECTIVA DE INCENDIO ASOCIADA A CRÉDITOS HIPOTECARIOS, CODIGO POL 1 12 027. PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012. MODELO PROHIBIDO POR RESOLUCION N°324 DE 13/08/2012.",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,324 del 13/08/2012
CAD212032,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"CLAUSULA ADICIONAL DE PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ TOTAL Y PERMANENTE DOS TERCIOS, ADICIONAL A: POLIZA COLECTIVA DE DESGRAVAMEN ASOCIADA A CRÉDITOS HIPOTECARIOS, CÓDIGO POL 2 12 031; PÓLIZA INDIVIDUAL DE DESGRAVAMEN ASOCIADA A CREDITOS HIPOTECARIOS, COD. POL 2 12 048.
PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012.",,"- Accidentes Personales
- Hipotecario Colectivo, ART. 40 DFL 251
- Hipotecario Individual, ART. 40 DFL 251
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
CAD212033,04/04/2012,ITAU CHILE COMPAÑIA DE SEGUROS DE VIDA S.A.,"CLAUSULA DE ENFERMEDADES GRAVES, ADICIONAL A: SEGURO COLECTIVO DE DESGRAVAMEN, CODIGO POL 2 09 082.",,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL112027,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"POLIZA COLECTIVA DE INCENDIO ASOCIADA A CREDITOS HIPOTECARIOS. PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012.
",,"- Hipotecario Colectivo, ART. 40 DFL 251
- Incendio
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL212031,04/04/2012,ASOCIACION DE ASEGURADORES DE CHILE A.G.,"POLIZA COLECTIVA DE DESGRAVAMEN ASOCIADA A CREDITOS HIPOTECARIOS. PUEDE SER COMERCIALIZADA A PARTIR DEL 13/04/2012.
",,"- Desgravamen
- Hipotecario Colectivo, ART. 40 DFL 251
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL112026,30/03/2012,CHARTIS CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,"SEGURO DE RESPONSABILIDAD CIVIL PROFESIONAL
PARA INSTITUCIONES FINANCIERAS.
",,"- MODELO PROHIBIDO
- Responsabilidad Civil
", - ,171 del 19/06/2014
POL212025,27/03/2012,EUROAMERICA SEGUROS DE VIDA S.A.,SEGURO DE DEPENDENCIA,,"- Accidentes Personales
- MODELO PROHIBIDO
- Renta Privada
- Salud
", - ,171 del 19/06/2014
POL312024,27/03/2012,SEGUROS DE VIDA SURA S.A.,SEGURO DE GASTOS MEDICOS MAYORES.,,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
CAD212021,23/03/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"CLAUSULA DE EXONERACION DE PAGO DE PRIMAS BÁSICAS  POR INVALIDEZ TOTAL Y PERMANENTE, ADICIONAL A: SEGURO DE VIDA SIN VALORES GARANTIZADOS, CODIGO  POL 2 92 090.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL212022,23/03/2012,CHILENA CONSOLIDADA SEGUROS DE VIDA S.A.,"SEGURO DE VIDA PROTECCIÓN  FAMILIAR ""TOP""
SEGURO DE VIDA TEMPORAL RENOVABLE SIN VALORES GARANTIZADOS.
",,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
POL212023,23/03/2012,PRINCIPAL COMPAÑÍA DE SEGUROS DE VIDA S.A.,SEGURO DE VIDA INDIVIDUAL CON PRIMAS VARIABLES,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
CAD312020,22/03/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,"CLAUSULA DE ENFERMEDADES GRAVES, ADICIONAL A: POLIZA DE REEMBOLSO DE GASTOS MEDICOS A CAUSA DE ACCIDENTE O ENFERMEDAD, CODIGO POL 3 10 094.",,"- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL112019,15/03/2012,SANTANDER SEGUROS GENERALES S.A.,PÓLIZA INDIVIDUAL MULTIRRIESGOS HOGAR PARA CRÉDITOS HIPOTECARIOS.  MODELO PROHIBIDO POR RESOLUCION N°324 DE 13/08/2012.,,"- Garantías y Fidelidad
- Incendio
- MODELO PROHIBIDO
- Multirriesgo
- Varios Seg. Generales
", - ,338 del 28/08/2012
POL212018,13/03/2012,SEGUROS CLC S.A.,"PÓLIZA DE PRESTACIONES MÉDICAS DE COMPLICACIONES DEL EMBARAZO, DEL PARTO Y DEL RECIEN NACIDO HASTA LOS DOS AÑOS.",,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL312017,12/03/2012,ACE SEGUROS S.A.,POLIZA DE ENFERMEDADES GRAVES,,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL312016,09/03/2012,ACE SEGUROS S.A.,POLIZA CORPORATIVA DE ACCIDENTES PERSONALES.,,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD212015,08/03/2012,SANTANDER SEGUROS DE VIDA S.A.,"CLÁUSULA ADICIONAL SEGURO TEMPORAL DE CAPITAL EXTRA EN VIDA. ADICIONAL A SEGURO DE DESGRAVAMEN INDIVIDUAL, COD. POL 2 11 042.",,"- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL312014,02/03/2012,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO INDIVIDUAL DE MUERTE ACCIDENTAL CON DEVOLUCIÓN DE PRIMAS PARA OFERTA POR MEDIO DE SISTEMAS DE TELEFONÍA U OTROS ANÁLOGOS.,,"- Accidentes Personales
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL112012,29/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE SEGURO DE GANADO BOVINO.,,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
POL212013,29/02/2012,COMPAÑIA DE SEG. DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.,SEGURO DE VIDA INDIVIDUAL CON PRIMAS VARIABLES VINCULADO A ACTIVOS DE INVERSION CON BENEFICIO TRIBUTARIO 57 BIS.,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
POL112011,20/02/2012,ACE SEGUROS S.A.,"PÓLIZA DE SEGURO DE PROTECCION PATRIMONIAL Y DEFENSA JUDICIAL POR EXTRAVÍO, ROBO O HURTO DE CÉDULA DE IDENTIDAD.",,"- MODELO PROHIBIDO
- Robo
- Varios Seg. Generales
", - ,171 del 19/06/2014
POL212010,08/02/2012,COMPAÑIA DE SEGUROS CORPVIDA S.A.,"SEGURO DE VIDA INDIVIDUAL, CON 57 BIS.",,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
POL212009,07/02/2012,EUROAMERICASEGUROS DE VIDA S.A.,SEGURO COLECTIVO DE VIDA CON CUENTA UNICA DE INVERSION,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
CAD112005,03/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,"CLAUSULA DE EVENTOS DE LA NATURALEZA, ADICIONAL  A: PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112004, PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112012.",,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
CAD112006,03/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,"CLAUSULA DE MUERTE POR SACRIFICIO, ADICIONAL A: PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112004, PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112012.",,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
CAD112007,03/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,"CLAUSULA DE REMOCIÓN DE RESTOS, ADICIONAL A: PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112004, PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112012.",,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
CAD112008,03/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,"CLAUSULA DE RESPONSABILIDAD CIVIL EXTRACONTRACTUAL POR DAÑOS A TERCEROS, ADICIONAL A: PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112004, PÓLIZA DE SEGURO DE GANADO BOVINO, COD. POL112012.",,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
POL112004,03/02/2012,CHUBB DE CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE SEGURO DE GANADO BOVINO. MODELO PROHIBIDO POR RESOLUCION N° 36 DE 09/02/2012.,,"- Agricola
- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,36 del 09/02/2012
POL312003,27/01/2012,ACE SEGUROS S.A.,SEGURO  DE  ACCIDENTES  PERSONALES,,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL312002,19/01/2012,ACE SEGROS S.A.,POLIZA INTEGRAL DE ACCIDENTES PERSONALES Y HOSPITALIZACIÓN A CAUSA DE ACCIDENTE O ENFERMEDAD,,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL312001,09/01/2012,ACE SEGUROS S.A.,POLIZA DE ACCIDENTES PERSONALES,,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL211086,26/12/2011,BICE VIDA COMPAÑÍA DE SEGUROS S.A.,SEGURO DE VIDA COLECTIVO,,"- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
POL311087,26/12/2011,BICE VIDA COMPAÑÍA DE SEGUROS S.A.,SEGURO COMPLEMENTARIO DE SALUD COLECTIVO,,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL211085,15/12/2011,EUROAMERICA SEGUROS DE VIDA S.A.,SEGURO DE VIDA INDIVIDUAL CON CUENTA UNICA DE INVERSION PARA GASTOS DE SALUD,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
POL111084,14/12/2011,HDI SEGUROS S.A.,POLIZA DE FIDELIDAD FUNCIONARIA VALORES FISCALES.,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL211083,05/12/2011,EUROAMERICA SEGUROS DE VIDA S.A.,SEGURO COLECTIVO DE VIDA CON CUENTA ÚNICA DE INVERSIÓN,,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
POL211082,24/11/2011,SEGUROS CLC S.A.,POLIZA DE PRESTACIONES MEDICAS PRODUCTO DE UN ACCIDENTE.,,"- Accidentes Personales
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
CAD311081,18/11/2011,SEGUROS FALABELLA CORREDORES DE SEGUROS LTDA.,"CLAUSULA DE PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS, ADICIONAL A: POLIZA DE SEGURO COLECTIVO DE DESGRAVAMEN PARA TARJETAS DE CREDITO EMITIDAS POR EMPRESAS DE RETAIL, COD.POL 2 11 079.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
POL111080,18/11/2011,SEGUROS FALABELLA CORREDORES DE SEGUROS LTDA.,"POLIZA COLECTIVA DE SEGURO DE CESANTÍA O INCAPACIDAD TEMPORAL, ASOCIADA A TARJETAS DE CREDITO EMITIDAS POR EMPRESAS DE RETAIL.",,"- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
POL211079,18/11/2011,SEGUROS FALABELLA CORREDORES DE SEGUROS LTDA.,PÓLIZA DE SEGURO COLECTIVO DE DESGRAVAMEN PARA TARJETAS DE CREDITO EMITIDAS POR EMPRESAS DE RETAIL.,,"- Desgravamen
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL211078,15/11/2011,COMPAÑIA DE SEGUROS CORPVIDA S.A.,"SEGURO DE VIDA INDIVIDUAL, CON 57 BIS",,"- MODELO PROHIBIDO
- Vida
- Vida Flexible
", - ,171 del 19/06/2014
CAD211077,04/11/2011,BICE VIDA COMPAÑIA DE SEGUROS S.A.,"CLAUSULA DE MUERTE ACCIDENTAL, ADICIONAL A: SEGURO COLECTIVO TEMPORAL DE VIDA CON DEVOLUCION DE PRIMAS, CODIGO POL 2 11 050.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
CAD111076,02/11/2011,HDI SEGUROS S.A.,"CLAUSULA DE SISMO, ADICIONAL A: SEGURO DE AVERIA DE MAQUINARIA, COD. POL 1 92 058.",,"- MODELO PROHIBIDO
- Varios Seg. Generales
", - ,171 del 19/06/2014
POL111075,02/11/2011,CHARTIS CHILE COMPAÑIA DE SEGUROS GENERALES S.A.,POLIZA DE FIDELIDAD FUNCIONARIA.,,"- Garantías y Fidelidad
- MODELO PROHIBIDO
", - ,171 del 19/06/2014
POL211074,28/10/2011,METLIFE CHILE SEGUROS DE VIDA S.A.,SEGURO INDIVIDUAL DE VIDA TEMPORAL CON DEVOLUCIÓN DE PRIMAS PARA OFERTA POR MEDIO DE SISTEMAS DE TELEFONÍA U OTROS ANÁLOGOS.,,"- MODELO PROHIBIDO
- Vida
", - ,171 del 19/06/2014
CAD211073,25/10/2011,COMPAÑIA DE SEGUROS DE VIDA CRUZ DEL SUR S.A.,"CLAUSULA DE INDEMNIZACION DEL MONTO ASEGURADO EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS, ADICIONAL A: PÓLIZA DE SEGURO DE RENTA FLEXIBLE NO PREVISIONAL, COD. POL 2 11 064.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
CAD211071,19/10/2011,EUROAMERICA SEGUROS DE VIDA S.A.,"CLAUSULA DE PAGO ANTICIPADO DEL CAPITAL ASEGURADO EN CASO DE INVALIDEZ PERMANENTE DOS TERCIOS, ADICIONAL A: SEGURO DE DESGRAVAMEN INDIVIDUAL, COD. POL 2 11 070.",,"- Accidentes Personales
- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
CAD311067,19/10/2011,CHILENA CONSOLIDADA SEGUROS VIDA S.A.,"CLAUSULA ADICIONAL COBERTURA ODONTOLOGÍA, ADICIONAL A: SEGURO COLECTIVO COMPLEMENTARIO DE SALUD, COD. POL 3 10 178.",,"- MODELO PROHIBIDO
- Salud
", - ,171 del 19/06/2014
